"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"10/06/2026","2.415.863","2.441.813","2.441.813","2.412.782","","-0,99%"
"09/06/2026","2.439.960","2.525.174","2.537.718","2.436.434","","-3,34%"
"08/06/2026","2.524.170","2.518.971","2.537.846","2.495.007","","0,33%"
"07/06/2026","2.515.911","2.507.103","2.516.956","2.497.178","","-0,08%"
"05/06/2026","2.517.832","2.589.978","2.600.145","2.501.249","","-2,79%"
"04/06/2026","2.590.215","2.583.272","2.616.171","2.569.140","","0,32%"
"03/06/2026","2.581.828","2.572.195","2.586.529","2.557.370","","0,47%"
"02/06/2026","2.569.714","2.576.650","2.603.833","2.558.647","","-0,29%"
"01/06/2026","2.577.078","2.607.528","2.616.399","2.551.314","","-1,20%"
"31/05/2026","2.608.332","2.608.690","2.611.334","2.597.246","","0,23%"
"29/05/2026","2.602.339","2.577.543","2.628.976","2.567.340","","0,89%"
"28/05/2026","2.579.416","2.547.662","2.582.893","2.496.195","","1,30%"
"27/05/2026","2.546.215","2.593.628","2.597.455","2.526.492","","-1,81%"
"26/05/2026","2.593.162","2.603.078","2.603.078","2.564.105","","-0,49%"
"25/05/2026","2.605.889","2.597.963","2.613.634","2.592.981","","0,38%"
"24/05/2026","2.596.018","2.565.324","2.605.673","2.563.396","","1,15%"
"22/05/2026","2.566.484","2.580.883","2.582.133","2.556.606","","-0,55%"
"21/05/2026","2.580.699","2.572.326","2.594.028","2.555.783","","-0,03%"
"20/05/2026","2.581.529","2.566.377","2.584.678","2.531.428","","0,58%"
"19/05/2026","2.566.586","2.596.948","2.611.262","2.548.282","","-1,58%"
"18/05/2026","2.607.870","2.544.910","2.610.030","2.528.240","","2,42%"
"17/05/2026","2.546.307","2.549.078","2.568.675","2.544.247","","-0,83%"
"15/05/2026","2.567.614","2.623.066","2.631.891","2.542.205","","-2,32%"
"14/05/2026","2.628.685","2.644.542","2.656.534","2.619.784","","-0,42%"
"13/05/2026","2.639.773","2.652.425","2.667.181","2.621.869","","-0,87%"
"12/05/2026","2.662.826","2.665.469","2.669.296","2.614.493","","-0,14%"
"11/05/2026","2.666.565","2.615.442","2.666.861","2.603.301","","1,86%"
"10/05/2026","2.617.958","2.633.012","2.633.012","2.611.988","","-0,64%"
"08/05/2026","2.634.907","2.616.405","2.648.628","2.610.558","","0,72%"
"07/05/2026","2.616.111","2.620.226","2.649.562","2.604.626","","-0,12%"
"06/05/2026","2.619.221","2.568.703","2.630.009","2.568.442","","1,95%"
"05/05/2026","2.569.224","2.522.711","2.569.572","2.521.061","","1,84%"
